scenario_id,owner,token_id,mass,unique_components,component_ids,target_bw,gas_used,tx_hash
1,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,282,10,1,278,23.019,491046,0x79591d5f9d6bd9229917c04b9127a818a9c5b30555941ac3c2fb88564fbf7684
2,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,283,10,1,278,28.1021,480646,0xfefcadb78d7f6e57b8d0b1cb4d12332e69f1b8551c018fa46df2233eea975609
3,0x90F79bf6EB2c4f870365E785982E1f101E93b906,284,10,1,278,23.6695,485173,0x5a9a5fceb9c4cbb6c1cc2a5f3ce862347b3f99890cad2c313d63de6782006cd1
4,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,285,10,1,278,16.7749,444132,0xcc72b26f57b4a5f7cd12b44f1f054e5da38928f44ee4433179b0b28bf70b21b9
5,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,286,100,1,278,30.1106,438532,0xbd8a04f0d160864ac2f8c250cc843716ff1dd1af246ba5b0163235d75beaf0c6
6,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,287,100,1,278,38.8692,433732,0xb27f71067df59b50702da773c5d54540c6457822c01dc454ce9018241acd9323
7,0x90F79bf6EB2c4f870365E785982E1f101E93b906,288,100,1,278,34.9032,438259,0x8c3a1b299f97903d12fa49308c1251b6a4a4d916900325d8459f4ad3a9035bbe
8,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,289,100,1,278,33.4411,444132,0x998965ca5a67a7d28f8e6ce16b8f58f75b41258f0ad5d071b0578b17c974506c
9,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,290,2000,1,278,39.662,438544,0x5b13cfb892de0b445d8421dd9aacc1a8b7b4cd4e741a3a4f05c1694c42a1869b
10,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,291,2000,1,278,48.4206,433744,0x9d58e7cd56aaebdfd4f64e77c8152c28629421d7f264d16b5023da83cda5ff5f
11,0x90F79bf6EB2c4f870365E785982E1f101E93b906,292,2000,1,278,44.4546,438271,0xf12a0876230853ad6c478312e754492cb9499308076638f20b6f33878f48f3d7
12,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,293,2000,1,278,45.672,438544,0x7a78a9815bdcdc5c412edca79e76942ac8f13328b8f4abbae298fe698d0c8dea
13,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,294,12000,1,278,45.3915,444144,0x28ff777b5f8970f3d39a396f50353b6b1e1cc6e6a8be6cf3187909da365a9117
14,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,295,12000,1,278,54.15,433744,0xc6f09920a2d8e2b58e394c84baeb075745ff3feb6537c9ab51fcdcbf8f816bd9
15,0x90F79bf6EB2c4f870365E785982E1f101E93b906,296,12000,1,278,50.1841,438271,0xc88b9bcf1c6cbedf776c6c3a327641b7735ada06e33d5c97259af051d7f1adea
16,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,297,12000,1,278,51.4014,438544,0x1f88eb713e2e9a411adc51195da4f39a70f28bab7847766345c1da450c141778
17,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,298,75000,1,278,51.2526,444156,0x83dd95d174249d02313c52ff1885335ac84e92efc1479c8d6c1b66b101016dd1
18,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,299,75000,1,278,60.0112,433756,0x451f9c68cf567471ad7f3ead684301f3dc795dc52a7762a9f054ad47d6a74ac9
19,0x90F79bf6EB2c4f870365E785982E1f101E93b906,300,75000,1,278,56.0452,438283,0x7ae8f760a7f4571d5c65cc7a1c8eef6ff4834b0e2cd0facddb5a0296fd644d96
20,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,301,75000,1,278,57.2626,438544,0xd0bfdd3ff21b4903a21314703027dc1f65f7e929db3e39466d9f0219f7401e99
21,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,302,270000,1,278,55.3496,438556,0x442388952c5902f9b6417ee44872c9eda988491982c0aab275c21f7312b45b94
22,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,303,270000,1,278,64.1081,439356,0x33f2ed9998099bdba13d4875065dab0b60f8340475ab42dbd3b79bf1c20041ea
23,0x90F79bf6EB2c4f870365E785982E1f101E93b906,304,270000,1,278,60.1421,438283,0x8b273f7b9228e67a54aee88e729edf7a333ccbb3d5e028559a6ab0de4a8d51fd
24,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,305,270000,1,278,61.3595,438556,0x7a788d98f0eb67e4bd3aac092353ef96b60b751b93fc4a5eb792ff2568fdf8ee
