day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,150000,50000,2000,100000,10000,2000,1.300000,0
2,150000,50000,2000,200000,12000,3960,1.300000,0
3,150000,50000,2000,300000,14400,5880,1.300000,0
4,150000,50000,2000,400000,17280,7763,1.300000,0
5,150000,50000,2000,500000,20736,9607,1.300000,0
6,150000,50000,2000,600000,24883,11415,1.300000,0
7,150000,50000,2000,700000,29859,13187,1.300000,0
8,150000,50000,2000,800000,35831,14923,1.300000,0
9,150000,50000,2000,900000,42998,16625,1.300000,0
10,150000,50000,2000,1000000,51597,18292,1.300000,0
11,150000,50000,2000,1100000,61917,19926,1.300000,0
12,150000,50000,2000,1200000,74300,21528,1.300000,0
13,150000,50000,2000,1300000,89161,23097,1.300000,0
14,150000,50000,2000,1400000,106993,24635,1.300000,0
15,150000,50000,2000,1500000,128391,26143,1.300000,0
16,150000,50000,2000,1600000,154070,27620,1.300000,0
17,150000,50000,2000,1700000,184884,29067,1.300000,0
18,150000,50000,2000,1800000,221861,30486,1.300000,0
19,150000,50000,2000,1900000,266233,31876,1.300000,0
20,150000,50000,2000,2000000,319479,33239,1.300000,0
21,150000,50000,2000,2100000,383375,34574,1.300000,0
22,150000,50000,2000,2200000,460051,35882,1.300000,0
23,150000,50000,2000,2300000,552061,37165,1.300000,0
24,150000,50000,2000,2400000,662473,38421,1.300000,0
25,150000,50000,2000,2500000,794968,39653,1.300000,0
26,150000,50000,2000,2600000,953962,40860,1.300000,0
27,150000,50000,2000,2700000,1000000,42043,1.300000,0
28,150000,50000,2000,2800000,1000000,43202,1.300000,0
29,150000,50000,2000,2900000,1000000,44338,1.300000,0
30,150000,50000,2000,3000000,1000000,45451,1.300000,0
