day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,0,0,0,10000000,1000000,0,1.000000,0
2,0,0,0,10000000,1000000,0,1.000000,0
3,0,0,0,10000000,1000000,0,1.000000,0
4,30000,0,0,10030000,1000000,0,1.014062,0
5,30000,0,0,10060000,1000000,0,1.029209,0
6,30000,0,0,10090000,1000000,0,1.040480,0
7,30000,0,0,10120000,1000000,0,1.048852,0
8,60000,10000,300,10170000,1000000,300,1.067410,0
9,60000,10000,300,10220000,1000000,594,1.081037,0
10,60000,10000,300,10270000,1000000,882,1.091057,0
11,60000,10000,300,10320000,1000000,1164,1.098389,0
12,60000,10000,300,10370000,1000000,1441,1.103715,0
13,60000,10000,300,10420000,1000000,1712,1.107546,0
14,60000,10000,300,10470000,1000000,1978,1.110263,0
15,60000,10000,300,10520000,1000000,2238,1.112150,0
16,60000,10000,300,10570000,1000000,2493,1.113418,0
17,60000,10000,300,10620000,1000000,2743,1.114226,0
18,60000,10000,300,10670000,1000000,2989,1.114692,0
19,60000,10000,300,10720000,1000000,3229,1.114903,0
20,60000,10000,300,10770000,1000000,3464,1.114927,0
21,60000,10000,300,10820000,1000000,3695,1.114811,0
22,60000,10000,300,10870000,1000000,3921,1.114592,0
23,60000,10000,300,10920000,1000000,4143,1.114297,0
24,60000,10000,300,10970000,1000000,4360,1.113948,0
25,60000,10000,300,11020000,1000000,4572,1.113558,0
26,60000,10000,300,11070000,1000000,4781,1.113140,0
27,60000,10000,300,11120000,1000000,4985,1.112701,0
28,60000,10000,300,11170000,1000000,5186,1.112248,0
29,60000,10000,300,11220000,1000000,5382,1.111786,0
30,60000,10000,300,11270000,1000000,5574,1.111318,0
