day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,1000000,20000,0.946094,0
2,25000,140000,20000,9770000,1000000,39600,0.886389,0
3,25000,140000,20000,9655000,1000000,58808,0.840222,0
4,25000,140000,20000,9540000,1000000,77631,0.804296,0
5,25000,140000,20000,9425000,1000000,96079,0.776112,0
6,25000,140000,20000,9310000,1000000,114157,0.753775,0
7,25000,140000,20000,9195000,1000000,131874,0.735848,0
8,25000,140000,20000,9080000,1000000,149236,0.721241,0
9,25000,140000,20000,8965000,1000000,166252,0.709125,0
10,25000,140000,20000,8850000,1000000,182927,0.700000,0
11,25000,140000,20000,8735000,1000000,199268,0.700000,0
12,25000,140000,20000,8620000,1000000,215283,0.700000,0
13,25000,140000,20000,8505000,1000000,230977,0.700000,0
14,25000,140000,20000,8390000,1000000,246358,0.700000,0
15,25000,140000,20000,8275000,553633,261430,0.700000,1
16,25000,140000,20000,8160000,554016,276202,0.700000,1
17,25000,140000,20000,8045000,664819,290678,0.700000,0
18,25000,140000,20000,7930000,797783,304864,0.700000,0
19,25000,140000,20000,7815000,957340,318767,0.700000,0
20,25000,140000,20000,7700000,1000000,332392,0.700000,0
21,25000,140000,20000,7585000,1000000,345744,0.700000,0
22,25000,140000,20000,7470000,1000000,358829,0.700000,0
23,25000,140000,20000,7355000,1000000,371652,0.700000,0
24,25000,140000,20000,7240000,1000000,384219,0.700000,0
25,25000,140000,20000,7125000,1000000,396535,0.700000,0
26,25000,140000,20000,7010000,1000000,408604,0.700000,0
27,25000,140000,20000,6895000,1000000,420432,0.700000,0
28,25000,140000,20000,6780000,1000000,432023,0.700000,0
29,25000,140000,20000,6665000,1000000,443383,0.700000,0
30,25000,140000,20000,6550000,1000000,454515,0.700000,0
