day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,1000000,6000,0.962500,0
2,40000,120000,6000,9840000,1000000,11880,0.921245,0
3,40000,120000,6000,9760000,1000000,17642,0.889641,0
4,40000,120000,6000,9680000,1000000,23289,0.865322,0
5,40000,120000,6000,9600000,1000000,28823,0.846504,0
6,40000,120000,6000,9520000,1000000,34247,0.831835,0
7,40000,120000,6000,9440000,1000000,39562,0.820296,0
8,40000,120000,6000,9360000,1000000,44771,0.811114,0
9,40000,120000,6000,9280000,1000000,49875,0.803706,0
10,40000,120000,6000,9200000,1000000,54878,0.797631,0
11,40000,120000,6000,9120000,1000000,59780,0.792555,0
12,40000,120000,6000,9040000,1000000,64584,0.788227,0
13,40000,120000,6000,8960000,1000000,69293,0.784455,0
14,40000,120000,6000,8880000,1000000,73907,0.781094,0
15,40000,120000,6000,8800000,1000000,78429,0.778035,0
16,40000,120000,6000,8720000,1000000,82860,0.775195,0
17,40000,120000,6000,8640000,1000000,87203,0.772510,0
18,40000,120000,6000,8560000,1000000,91459,0.769932,0
19,40000,120000,6000,8480000,1000000,95630,0.767425,0
20,40000,120000,6000,8400000,1000000,99717,0.764961,0
21,40000,120000,6000,8320000,1000000,103723,0.762518,0
22,40000,120000,6000,8240000,1000000,107648,0.760080,0
23,40000,120000,6000,8160000,1000000,111495,0.757633,0
24,40000,120000,6000,8080000,1000000,115265,0.755168,0
25,40000,120000,6000,8000000,1000000,118960,0.752677,0
26,40000,120000,6000,7920000,1000000,122581,0.750153,0
27,40000,120000,6000,7840000,1000000,126129,0.747591,0
28,40000,120000,6000,7760000,1000000,129607,0.744986,0
29,40000,120000,6000,7680000,1000000,133015,0.742335,0
30,40000,120000,6000,7600000,1000000,136354,0.739634,0
