day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,4000000,10000,0,13990000,1000000,0,1.300000,0
2,60000,30000,1000,14020000,1000000,1000,1.300000,0
3,60000,30000,1000,14050000,1000000,1980,1.300000,0
4,60000,30000,1000,14080000,1000000,2940,1.300000,0
5,60000,30000,1000,14110000,1000000,3881,1.300000,0
6,60000,30000,1000,14140000,1000000,4803,1.300000,0
7,60000,30000,1000,14170000,1000000,5707,1.279015,0
8,60000,30000,1000,14200000,1000000,6593,1.222050,0
9,60000,30000,1000,14230000,1000000,7461,1.179390,0
10,60000,30000,1000,14260000,1000000,8312,1.147435,0
11,60000,30000,1000,14290000,1000000,9146,1.123493,0
12,60000,30000,1000,14320000,1000000,9963,1.105546,0
13,60000,30000,1000,14350000,1000000,10764,1.092087,0
14,60000,30000,1000,14380000,1000000,11548,1.081987,0
15,60000,30000,1000,14410000,1000000,12317,1.074401,0
16,60000,30000,1000,14440000,1000000,13071,1.068696,0
17,60000,30000,1000,14470000,1000000,13810,1.064400,0
18,60000,30000,1000,14500000,1000000,14533,1.061158,0
19,60000,30000,1000,14530000,1000000,15243,1.058704,0
20,60000,30000,1000,14560000,1000000,15938,1.056842,0
21,60000,30000,1000,14590000,1000000,16619,1.055421,0
22,60000,30000,1000,14620000,1000000,17287,1.054332,0
23,60000,30000,1000,14650000,1000000,17941,1.053490,0
24,60000,30000,1000,14680000,1000000,18582,1.052834,0
25,60000,30000,1000,14710000,1000000,19210,1.052317,0
26,60000,30000,1000,14740000,1000000,19826,1.051904,0
27,60000,30000,1000,14770000,1000000,20430,1.051569,0
28,60000,30000,1000,14800000,1000000,21021,1.051293,0
29,60000,30000,1000,14830000,1000000,21601,1.051061,0
30,60000,30000,1000,14860000,1000000,22169,1.050861,0
