day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,1000000,2000,1.046875,0
2,150000,50000,2000,10200000,1000000,3960,1.096689,0
3,150000,50000,2000,10300000,1000000,5880,1.133081,0
4,150000,50000,2000,10400000,1000000,7763,1.159521,0
5,150000,50000,2000,10500000,1000000,9607,1.178587,0
6,150000,50000,2000,10600000,1000000,11415,1.192188,0
7,150000,50000,2000,10700000,1000000,13187,1.201743,0
8,150000,50000,2000,10800000,1000000,14923,1.208305,0
9,150000,50000,2000,10900000,1000000,16625,1.212652,0
10,150000,50000,2000,11000000,1000000,18292,1.215366,0
11,150000,50000,2000,11100000,1000000,19926,1.216874,0
12,150000,50000,2000,11200000,1000000,21528,1.217496,0
13,150000,50000,2000,11300000,1000000,23097,1.217469,0
14,150000,50000,2000,11400000,1000000,24635,1.216968,0
15,150000,50000,2000,11500000,1000000,26143,1.216123,0
16,150000,50000,2000,11600000,1000000,27620,1.215031,0
17,150000,50000,2000,11700000,1000000,29067,1.213762,0
18,150000,50000,2000,11800000,1000000,30486,1.212370,0
19,150000,50000,2000,11900000,1000000,31876,1.210894,0
20,150000,50000,2000,12000000,1000000,33239,1.209362,0
21,150000,50000,2000,12100000,1000000,34574,1.207797,0
22,150000,50000,2000,12200000,1000000,35882,1.206212,0
23,150000,50000,2000,12300000,1000000,37165,1.204621,0
24,150000,50000,2000,12400000,1000000,38421,1.203031,0
25,150000,50000,2000,12500000,1000000,39653,1.201449,0
26,150000,50000,2000,12600000,1000000,40860,1.199878,0
27,150000,50000,2000,12700000,1000000,42043,1.198322,0
28,150000,50000,2000,12800000,1000000,43202,1.196783,0
29,150000,50000,2000,12900000,1000000,44338,1.195262,0
30,150000,50000,2000,13000000,1000000,45451,1.193761,0
