day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,17812,18425,98.26,,20000,0.982750,0
2,25000,140000,20000,9770000,10910,11636,101.32,46.54,39900,0.963644,0
3,25000,140000,20000,9655000,14416,13963,92,55.85,59700,0.948871,0
4,25000,140000,20000,9540000,17047,16755,93.37,67.02,79401,0.937375,0
5,25000,140000,20000,9425000,19019,19954,99.66,79.81,99004,0.928356,0
6,25000,140000,20000,9310000,20499,21511,99.69,86.04,118509,0.921208,0
7,25000,140000,20000,9195000,21608,22702,99.8,90.8,137917,0.915471,0
8,25000,140000,20000,9080000,22440,23616,99.97,94.46,157227,0.910797,0
9,25000,140000,20000,8965000,23065,24324,100.18,97.29,176441,0.906920,0
10,25000,140000,20000,8850000,23533,24876,100.42,99.5,195559,0.903639,0
11,25000,140000,20000,8735000,23750,25178,100.71,100.71,214581,0.900802,0
12,25000,140000,20000,8620000,23750,25264,101.05,101.05,233508,0.898291,0
13,25000,140000,20000,8505000,23750,25350,101.4,101.4,252341,0.896018,0
14,25000,140000,20000,8390000,23750,25436,101.74,101.74,271079,0.893916,0
15,25000,140000,20000,8275000,23750,25485,101.94,101.94,289724,0.891933,0
16,25000,140000,20000,8160000,23750,25540,102.16,102.16,308275,0.890029,0
17,25000,140000,20000,8045000,23750,25598,102.39,102.39,326734,0.888173,0
18,25000,140000,20000,7930000,23750,25661,102.64,102.64,345100,0.886342,0
19,25000,140000,20000,7815000,23750,25725,102.9,102.9,363374,0.884516,0
20,25000,140000,20000,7700000,23750,25793,103.17,103.17,381558,0.882682,0
21,25000,140000,20000,7585000,23750,25862,103.44,103.44,399650,0.880827,0
22,25000,140000,20000,7470000,23750,25932,103.73,103.73,417652,0.878942,0
23,25000,140000,20000,7355000,23750,26004,104.01,104.01,435563,0.877019,0
24,25000,140000,20000,7240000,23750,26077,104.3,104.3,453385,0.875051,0
25,25000,140000,20000,7125000,23750,26151,104.6,104.6,471119,0.873032,0
26,25000,140000,20000,7010000,23750,26225,104.9,104.9,488763,0.870956,0
27,25000,140000,20000,6895000,23750,26300,105.2,105.2,506319,0.868819,0
28,25000,140000,20000,6780000,23750,26376,105.5,105.5,523788,0.866616,0
29,25000,140000,20000,6665000,23750,26452,105.8,105.8,541169,0.864342,0
30,25000,140000,20000,6550000,23750,26528,106.11,106.11,558463,0.861992,0
