day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,28500,29063,96.87,,6000,0.988000,0
2,40000,120000,6000,9840000,17456,18089,98.44,45.22,11970,0.974798,0
3,40000,120000,6000,9760000,23067,21707,89.4,54.26,17910,0.964685,0
4,40000,120000,6000,9680000,27275,26049,90.72,65.12,23820,0.956903,0
5,40000,120000,6000,9600000,30431,31055,96.94,77.63,29701,0.950881,0
6,40000,120000,6000,9520000,32798,33431,96.83,83.57,35552,0.946187,0
7,40000,120000,6000,9440000,34573,35219,96.77,88.04,41375,0.942495,0
8,40000,120000,6000,9360000,35905,36566,96.74,91.41,47168,0.939556,0
9,40000,120000,6000,9280000,36904,37582,96.74,93.95,52932,0.937186,0
10,40000,120000,6000,9200000,37653,38349,96.75,95.87,58667,0.935242,0
11,40000,120000,6000,9120000,38000,38716,96.79,96.79,64374,0.933618,0
12,40000,120000,6000,9040000,38000,38739,96.84,96.84,70052,0.932233,0
13,40000,120000,6000,8960000,38000,38761,96.9,96.9,75702,0.931026,0
14,40000,120000,6000,8880000,38000,38783,96.95,96.95,81323,0.929950,0
15,40000,120000,6000,8800000,38000,38766,96.91,96.91,86917,0.928971,0
16,40000,120000,6000,8720000,38000,38755,96.88,96.88,92482,0.928062,0
17,40000,120000,6000,8640000,38000,38748,96.87,96.87,98020,0.927203,0
18,40000,120000,6000,8560000,38000,38744,96.86,96.86,103530,0.926378,0
19,40000,120000,6000,8480000,38000,38744,96.86,96.86,109012,0.925576,0
20,40000,120000,6000,8400000,38000,38747,96.86,96.86,114467,0.924788,0
21,40000,120000,6000,8320000,38000,38751,96.87,96.87,119895,0.924006,0
22,40000,120000,6000,8240000,38000,38758,96.89,96.89,125295,0.923226,0
23,40000,120000,6000,8160000,38000,38766,96.91,96.91,130669,0.922443,0
24,40000,120000,6000,8080000,38000,38776,96.94,96.94,136015,0.921654,0
25,40000,120000,6000,8000000,38000,38787,96.96,96.96,141335,0.920857,0
26,40000,120000,6000,7920000,38000,38799,96.99,96.99,146629,0.920049,0
27,40000,120000,6000,7840000,38000,38812,97.03,97.03,151895,0.919229,0
28,40000,120000,6000,7760000,38000,38826,97.06,97.06,157136,0.918395,0
29,40000,120000,6000,7680000,38000,38841,97.1,97.1,162350,0.917547,0
30,40000,120000,6000,7600000,38000,38856,97.14,97.14,167538,0.916683,0
