day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,27600,1000000,3333.33,6000,0.962500,0
2,40000,120000,6000,9840000,27600,1000000,3333.33,11880,0.921245,0
3,40000,120000,6000,9760000,36800,1000000,2500,17642,0.889641,0
4,40000,120000,6000,9680000,36800,1000000,2500,23289,0.865322,0
5,40000,120000,6000,9600000,36800,1000000,2500,28823,0.846504,0
6,40000,120000,6000,9520000,36800,1000000,2500,34247,0.831835,0
7,40000,120000,6000,9440000,36800,1000000,2500,39562,0.820296,0
8,40000,120000,6000,9360000,36800,1000000,2500,44771,0.811114,0
9,40000,120000,6000,9280000,36800,1000000,2500,49875,0.803706,0
10,40000,120000,6000,9200000,36800,1000000,2500,54878,0.797631,0
11,40000,120000,6000,9120000,36800,1000000,2500,59780,0.792555,0
12,40000,120000,6000,9040000,36800,1000000,2500,64584,0.788227,0
13,40000,120000,6000,8960000,36800,1000000,2500,69293,0.784455,0
14,40000,120000,6000,8880000,36800,1000000,2500,73907,0.781094,0
15,40000,120000,6000,8800000,36800,1000000,2500,78429,0.778035,0
16,40000,120000,6000,8720000,36800,1000000,2500,82860,0.775195,0
17,40000,120000,6000,8640000,36800,1000000,2500,87203,0.772510,0
18,40000,120000,6000,8560000,36800,1000000,2500,91459,0.769932,0
19,40000,120000,6000,8480000,36800,1000000,2500,95630,0.767425,0
20,40000,120000,6000,8400000,36800,1000000,2500,99717,0.764961,0
21,40000,120000,6000,8320000,36800,1000000,2500,103723,0.762518,0
22,40000,120000,6000,8240000,36800,998400,2496,107648,0.760080,0
23,40000,120000,6000,8160000,36800,988800,2472,111495,0.757633,0
24,40000,120000,6000,8080000,36800,979200,2448,115265,0.755168,0
25,40000,120000,6000,8000000,36800,969600,2424,118960,0.752677,0
26,40000,120000,6000,7920000,36800,960000,2400,122581,0.750153,0
27,40000,120000,6000,7840000,36800,950400,2376,126129,0.747591,0
28,40000,120000,6000,7760000,36800,940800,2352,129607,0.744986,0
29,40000,120000,6000,7680000,36800,931200,2328,133015,0.742335,0
30,40000,120000,6000,7600000,36800,921600,2304,136354,0.739634,0
