day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,103500,1000000,888.88,2000,1.046875,0
2,150000,50000,2000,10200000,103500,1000000,888.88,3960,1.096689,0
3,150000,50000,2000,10300000,138000,1000000,666.66,5880,1.133081,0
4,150000,50000,2000,10400000,138000,1000000,666.66,7763,1.159521,0
5,150000,50000,2000,10500000,138000,1000000,666.66,9607,1.178587,0
6,150000,50000,2000,10600000,138000,1000000,666.66,11415,1.192188,0
7,150000,50000,2000,10700000,138000,1000000,666.66,13187,1.201743,0
8,150000,50000,2000,10800000,138000,1000000,666.66,14923,1.208305,0
9,150000,50000,2000,10900000,138000,1000000,666.66,16625,1.212652,0
10,150000,50000,2000,11000000,138000,1000000,666.66,18292,1.215366,0
11,150000,50000,2000,11100000,138000,1000000,666.66,19926,1.216874,0
12,150000,50000,2000,11200000,138000,1000000,666.66,21528,1.217496,0
13,150000,50000,2000,11300000,138000,1000000,666.66,23097,1.217469,0
14,150000,50000,2000,11400000,138000,1000000,666.66,24635,1.216968,0
15,150000,50000,2000,11500000,138000,1000000,666.66,26143,1.216123,0
16,150000,50000,2000,11600000,138000,1000000,666.66,27620,1.215031,0
17,150000,50000,2000,11700000,138000,1000000,666.66,29067,1.213762,0
18,150000,50000,2000,11800000,138000,1000000,666.66,30486,1.212370,0
19,150000,50000,2000,11900000,138000,1000000,666.66,31876,1.210894,0
20,150000,50000,2000,12000000,138000,1000000,666.66,33239,1.209362,0
21,150000,50000,2000,12100000,138000,1000000,666.66,34574,1.207797,0
22,150000,50000,2000,12200000,138000,1000000,666.66,35882,1.206212,0
23,150000,50000,2000,12300000,138000,1000000,666.66,37165,1.204621,0
24,150000,50000,2000,12400000,138000,1000000,666.66,38421,1.203031,0
25,150000,50000,2000,12500000,138000,1000000,666.66,39653,1.201449,0
26,150000,50000,2000,12600000,138000,1000000,666.66,40860,1.199878,0
27,150000,50000,2000,12700000,138000,1000000,666.66,42043,1.198322,0
28,150000,50000,2000,12800000,138000,1000000,666.66,43202,1.196783,0
29,150000,50000,2000,12900000,138000,1000000,666.66,44338,1.195262,0
30,150000,50000,2000,13000000,138000,1000000,666.66,45451,1.193761,0
