day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,0,0,0,10000000,0,10000,,0,1.000000,0
2,0,0,0,10000000,0,10000,,0,1.000000,0
3,0,0,0,10000000,0,10000,,0,1.000000,0
4,30000,0,0,10030000,20700,12000,53.33,0,1.004500,0
5,30000,0,0,10060000,20700,14400,64,0,1.009347,0
6,30000,0,0,10090000,27600,17280,57.6,0,1.012954,0
7,30000,0,0,10120000,27600,20736,69.12,0,1.015633,0
8,60000,10000,300,10170000,27600,24883,82.94,300,1.021571,0
9,60000,10000,300,10220000,55200,29859,49.76,594,1.025932,0
10,60000,10000,300,10270000,55200,35831,59.71,882,1.029138,0
11,60000,10000,300,10320000,55200,42998,71.66,1164,1.031484,0
12,60000,10000,300,10370000,55200,51597,85.99,1441,1.033189,0
13,60000,10000,300,10420000,55200,57189,95.31,1712,1.034415,0
14,60000,10000,300,10470000,55200,57212,95.35,1978,1.035284,0
15,60000,10000,300,10520000,55200,57027,95.04,2238,1.035888,0
16,60000,10000,300,10570000,55200,56866,94.77,2493,1.036294,0
17,60000,10000,300,10620000,55200,56723,94.53,2743,1.036552,0
18,60000,10000,300,10670000,55200,56597,94.32,2989,1.036701,0
19,60000,10000,300,10720000,55200,56484,94.14,3229,1.036769,0
20,60000,10000,300,10770000,55200,56383,93.97,3464,1.036777,0
21,60000,10000,300,10820000,55200,56292,93.82,3695,1.036739,0
22,60000,10000,300,10870000,55200,56209,93.68,3921,1.036669,0
23,60000,10000,300,10920000,55200,56134,93.55,4143,1.036575,0
24,60000,10000,300,10970000,55200,56065,93.44,4360,1.036463,0
25,60000,10000,300,11020000,55200,56002,93.33,4572,1.036339,0
26,60000,10000,300,11070000,55200,55944,93.24,4781,1.036205,0
27,60000,10000,300,11120000,55200,55890,93.15,4985,1.036064,0
28,60000,10000,300,11170000,55200,55841,93.06,5186,1.035919,0
29,60000,10000,300,11220000,55200,55795,92.99,5382,1.035772,0
30,60000,10000,300,11270000,55200,55752,92.92,5574,1.035622,0
