day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,buffer,growthFactor,emergency
1,4000000,10000,0,13990000,2760000,1000000,33.33,0,1.300000,0
2,60000,30000,1000,14020000,2760000,1200000,40,1000,1.300000,0
3,60000,30000,1000,14050000,55200,840000,1400,1980,1.247615,0
4,60000,30000,1000,14080000,55200,588000,980,2940,1.189585,0
5,60000,30000,1000,14110000,55200,411600,686,3881,1.146147,0
6,60000,30000,1000,14140000,55200,288120,480.2,4803,1.113630,0
7,60000,30000,1000,14170000,55200,201684,336.14,5707,1.089285,0
8,60000,30000,1000,14200000,55200,141178,235.29,6593,1.071056,0
9,60000,30000,1000,14230000,55200,98825,164.7,7461,1.057405,0
10,60000,30000,1000,14260000,55200,69177,115.29,8312,1.047179,0
11,60000,30000,1000,14290000,55200,58497,97.49,9146,1.039518,0
12,60000,30000,1000,14320000,55200,58499,97.49,9963,1.033775,0
13,60000,30000,1000,14350000,55200,58507,97.51,10764,1.029468,0
14,60000,30000,1000,14380000,55200,58518,97.53,11548,1.026236,0
15,60000,30000,1000,14410000,55200,58252,97.08,12317,1.023808,0
16,60000,30000,1000,14440000,55200,58024,96.7,13071,1.021983,0
17,60000,30000,1000,14470000,55200,57825,96.37,13810,1.020608,0
18,60000,30000,1000,14500000,55200,57650,96.08,14533,1.019570,0
19,60000,30000,1000,14530000,55200,57496,95.82,15243,1.018785,0
20,60000,30000,1000,14560000,55200,57359,95.59,15938,1.018189,0
21,60000,30000,1000,14590000,55200,57237,95.39,16619,1.017735,0
22,60000,30000,1000,14620000,55200,57127,95.21,17287,1.017386,0
23,60000,30000,1000,14650000,55200,57027,95.04,17941,1.017117,0
24,60000,30000,1000,14680000,55200,56937,94.89,18582,1.016907,0
25,60000,30000,1000,14710000,55200,56855,94.75,19210,1.016741,0
26,60000,30000,1000,14740000,55200,56780,94.63,19826,1.016609,0
27,60000,30000,1000,14770000,55200,56712,94.52,20430,1.016502,0
28,60000,30000,1000,14800000,55200,56649,94.41,21021,1.016414,0
29,60000,30000,1000,14830000,55200,56591,94.31,21601,1.016339,0
30,60000,30000,1000,14860000,55200,56537,94.22,22169,1.016276,0
