day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,0,0,0,10000000,0,10000,,,0,1.000000,0
2,0,0,0,10000000,0,10000,,,0,1.000000,0
3,0,0,0,10000000,0,10000,,,0,1.000000,0
4,30000,0,0,10030000,20700,12000,53.33,,0,1.004500,0
5,30000,0,0,10060000,12678,13338,96.78,44.46,0,1.009347,0
6,30000,0,0,10090000,16754,16006,87.89,53.35,0,1.012954,0
7,30000,0,0,10120000,19810,19207,89.19,64.02,0,1.015633,0
8,60000,10000,300,10170000,27600,23048,76.82,76.82,300,1.021571,0
9,60000,10000,300,10220000,36500,27658,69.71,46.09,594,1.025932,0
10,60000,10000,300,10270000,41865,33190,72.93,55.31,882,1.029138,0
11,60000,10000,300,10320000,45889,39828,79.84,66.38,1164,1.031484,0
12,60000,10000,300,10370000,48906,47794,89.9,79.65,1441,1.033189,0
13,60000,10000,300,10420000,51170,51709,92.96,86.18,1712,1.034415,0
14,60000,10000,300,10470000,52867,53408,92.94,89.01,1978,1.035284,0
15,60000,10000,300,10520000,54140,54632,92.83,91.05,2238,1.035888,0
16,60000,10000,300,10570000,55095,55546,92.75,92.57,2493,1.036294,0
17,60000,10000,300,10620000,55200,55618,92.69,92.69,2743,1.036552,0
18,60000,10000,300,10670000,55200,55590,92.65,92.65,2989,1.036701,0
19,60000,10000,300,10720000,55200,55566,92.61,92.61,3229,1.036769,0
20,60000,10000,300,10770000,55200,55544,92.57,92.57,3464,1.036777,0
21,60000,10000,300,10820000,55200,55524,92.54,92.54,3695,1.036739,0
22,60000,10000,300,10870000,55200,55507,92.51,92.51,3921,1.036669,0
23,60000,10000,300,10920000,55200,55492,92.48,92.48,4143,1.036575,0
24,60000,10000,300,10970000,55200,55478,92.46,92.46,4360,1.036463,0
25,60000,10000,300,11020000,55200,55465,92.44,92.44,4572,1.036339,0
26,60000,10000,300,11070000,55200,55454,92.42,92.42,4781,1.036205,0
27,60000,10000,300,11120000,55200,55444,92.4,92.4,4985,1.036064,0
28,60000,10000,300,11170000,55200,55435,92.39,92.39,5186,1.035919,0
29,60000,10000,300,11220000,55200,55426,92.37,92.37,5382,1.035772,0
30,60000,10000,300,11270000,55200,55418,92.36,92.36,5574,1.035622,0
