day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,27600,28167,93.89,,6000,0.988000,0
2,40000,120000,6000,9840000,16905,17631,95.95,44.07,11880,0.974798,0
3,40000,120000,6000,9760000,22338,21157,87.13,52.89,17642,0.964685,0
4,40000,120000,6000,9680000,26414,25388,88.42,63.47,23289,0.956903,0
5,40000,120000,6000,9600000,29470,30446,95.04,76.11,28823,0.950881,0
6,40000,120000,6000,9520000,31762,32829,95.08,82.07,34247,0.946187,0
7,40000,120000,6000,9440000,33482,34640,95.18,86.6,39562,0.942495,0
8,40000,120000,6000,9360000,34771,36022,95.3,90.05,44771,0.939556,0
9,40000,120000,6000,9280000,35738,37082,95.45,92.7,49875,0.937186,0
10,40000,120000,6000,9200000,36464,37899,95.62,94.74,54878,0.935242,0
11,40000,120000,6000,9120000,36800,38327,95.81,95.81,59780,0.933618,0
12,40000,120000,6000,9040000,36800,38418,96.04,96.04,64584,0.932233,0
13,40000,120000,6000,8960000,36800,38508,96.27,96.27,69293,0.931026,0
14,40000,120000,6000,8880000,36800,38597,96.49,96.49,73907,0.929950,0
15,40000,120000,6000,8800000,36800,38644,96.61,96.61,78429,0.928971,0
16,40000,120000,6000,8720000,36800,38695,96.73,96.73,82860,0.928062,0
17,40000,120000,6000,8640000,36800,38748,96.87,96.87,87203,0.927203,0
18,40000,120000,6000,8560000,36800,38804,97.01,97.01,91459,0.926378,0
19,40000,120000,6000,8480000,36800,38862,97.15,97.15,95630,0.925576,0
20,40000,120000,6000,8400000,36800,38920,97.3,97.3,99717,0.924788,0
21,40000,120000,6000,8320000,36800,38979,97.44,97.44,103723,0.924006,0
22,40000,120000,6000,8240000,36800,39039,97.59,97.59,107648,0.923226,0
23,40000,120000,6000,8160000,36800,39099,97.74,97.74,111495,0.922443,0
24,40000,120000,6000,8080000,36800,39159,97.89,97.89,115265,0.921654,0
25,40000,120000,6000,8000000,36800,39218,98.04,98.04,118960,0.920857,0
26,40000,120000,6000,7920000,36800,39278,98.19,98.19,122581,0.920049,0
27,40000,120000,6000,7840000,36800,39337,98.34,98.34,126129,0.919229,0
28,40000,120000,6000,7760000,36800,39395,98.48,98.48,129607,0.918395,0
29,40000,120000,6000,7680000,36800,39453,98.63,98.63,133015,0.917547,0
30,40000,120000,6000,7600000,36800,39510,98.77,98.77,136354,0.916683,0
