day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,4000000,10000,0,13990000,2760000,1000000,33.33,,0,1.300000,0
2,60000,30000,1000,14020000,738990,736594,91.7,18.41,1000,1.300000,0
3,60000,30000,1000,14050000,55200,220978,368.29,368.29,1980,1.247615,0
4,60000,30000,1000,14080000,55200,66293,110.48,110.48,2940,1.189585,0
5,60000,30000,1000,14110000,55200,56135,93.55,93.55,3881,1.146147,0
6,60000,30000,1000,14140000,55200,56124,93.54,93.54,4803,1.113630,0
7,60000,30000,1000,14170000,55200,56120,93.53,93.53,5707,1.089285,0
8,60000,30000,1000,14200000,55200,56122,93.53,93.53,6593,1.071056,0
9,60000,30000,1000,14230000,55200,56128,93.54,93.54,7461,1.057405,0
10,60000,30000,1000,14260000,55200,56137,93.56,93.56,8312,1.047179,0
11,60000,30000,1000,14290000,55200,56149,93.58,93.58,9146,1.039518,0
12,60000,30000,1000,14320000,55200,56162,93.6,93.6,9963,1.033775,0
13,60000,30000,1000,14350000,55200,56176,93.62,93.62,10764,1.029468,0
14,60000,30000,1000,14380000,55200,56191,93.65,93.65,11548,1.026236,0
15,60000,30000,1000,14410000,55200,56136,93.56,93.56,12317,1.023808,0
16,60000,30000,1000,14440000,55200,56090,93.48,93.48,13071,1.021983,0
17,60000,30000,1000,14470000,55200,56052,93.42,93.42,13810,1.020608,0
18,60000,30000,1000,14500000,55200,56019,93.36,93.36,14533,1.019570,0
19,60000,30000,1000,14530000,55200,55992,93.32,93.32,15243,1.018785,0
20,60000,30000,1000,14560000,55200,55968,93.28,93.28,15938,1.018189,0
21,60000,30000,1000,14590000,55200,55948,93.24,93.24,16619,1.017735,0
22,60000,30000,1000,14620000,55200,55931,93.21,93.21,17287,1.017386,0
23,60000,30000,1000,14650000,55200,55916,93.19,93.19,17941,1.017117,0
24,60000,30000,1000,14680000,55200,55903,93.17,93.17,18582,1.016907,0
25,60000,30000,1000,14710000,55200,55892,93.15,93.15,19210,1.016741,0
26,60000,30000,1000,14740000,55200,55883,93.13,93.13,19826,1.016609,0
27,60000,30000,1000,14770000,55200,55875,93.12,93.12,20430,1.016502,0
28,60000,30000,1000,14800000,55200,55868,93.11,93.11,21021,1.016414,0
29,60000,30000,1000,14830000,55200,55863,93.1,93.1,21601,1.016339,0
30,60000,30000,1000,14860000,55200,55858,93.09,93.09,22169,1.016276,0
