day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,103500,103707,92.18,,2000,1.015000,0
2,150000,50000,2000,10200000,63393,63830,92.63,42.55,3990,1.030941,0
3,150000,50000,2000,10300000,83770,76596,84.12,51.06,5970,1.042586,0
4,150000,50000,2000,10400000,99052,91915,85.37,61.27,7940,1.051047,0
5,150000,50000,2000,10500000,110514,110299,91.82,73.53,9900,1.057148,0
6,150000,50000,2000,10600000,119110,119360,92.19,79.57,11850,1.061500,0
7,150000,50000,2000,10700000,125558,125795,92.17,83.86,13791,1.064558,0
8,150000,50000,2000,10800000,130393,130625,92.16,87.08,15722,1.066658,0
9,150000,50000,2000,10900000,134020,134252,92.15,89.5,17644,1.068049,0
10,150000,50000,2000,11000000,136740,136976,92.15,91.31,19555,1.068917,0
11,150000,50000,2000,11100000,138000,138248,92.16,92.16,21458,1.069400,0
12,150000,50000,2000,11200000,138000,138265,92.17,92.17,23350,1.069599,0
13,150000,50000,2000,11300000,138000,138282,92.18,92.18,25234,1.069590,0
14,150000,50000,2000,11400000,138000,138299,92.19,92.19,27107,1.069430,0
15,150000,50000,2000,11500000,138000,138258,92.17,92.17,28972,1.069159,0
16,150000,50000,2000,11600000,138000,138223,92.14,92.14,30827,1.068810,0
17,150000,50000,2000,11700000,138000,138193,92.12,92.12,32673,1.068404,0
18,150000,50000,2000,11800000,138000,138167,92.11,92.11,34510,1.067958,0
19,150000,50000,2000,11900000,138000,138145,92.09,92.09,36337,1.067486,0
20,150000,50000,2000,12000000,138000,138126,92.08,92.08,38155,1.066996,0
21,150000,50000,2000,12100000,138000,138110,92.07,92.07,39965,1.066495,0
22,150000,50000,2000,12200000,138000,138096,92.06,92.06,41765,1.065988,0
23,150000,50000,2000,12300000,138000,138083,92.05,92.05,43556,1.065479,0
24,150000,50000,2000,12400000,138000,138073,92.04,92.04,45338,1.064970,0
25,150000,50000,2000,12500000,138000,138064,92.04,92.04,47111,1.064464,0
26,150000,50000,2000,12600000,138000,138057,92.03,92.03,48876,1.063961,0
27,150000,50000,2000,12700000,138000,138050,92.03,92.03,50631,1.063463,0
28,150000,50000,2000,12800000,138000,138045,92.03,92.03,52378,1.062970,0
29,150000,50000,2000,12900000,138000,138040,92.02,92.02,54116,1.062484,0
30,150000,50000,2000,13000000,138000,138037,92.02,92.02,55846,1.062004,0
