day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,25000,140000,20000,9885000,17250,17865,95.28,,20000,0.982750,0
2,25000,140000,20000,9770000,10565,11293,98.33,45.17,39900,0.963644,0
3,25000,140000,20000,9655000,13961,13551,89.29,54.2,59700,0.948871,0
4,25000,140000,20000,9540000,16508,16262,90.62,65.04,79401,0.937375,0
5,25000,140000,20000,9425000,18419,19356,96.68,77.42,99004,0.928356,0
6,25000,140000,20000,9310000,19851,20867,96.7,83.47,118509,0.921208,0
7,25000,140000,20000,9195000,20926,22023,96.82,88.09,137917,0.915471,0
8,25000,140000,20000,9080000,21732,22911,96.99,91.64,157227,0.910797,0
9,25000,140000,20000,8965000,22336,23599,97.2,94.39,176441,0.906920,0
10,25000,140000,20000,8850000,22790,24136,97.43,96.54,195559,0.903639,0
11,25000,140000,20000,8735000,23000,24432,97.72,97.72,214581,0.900802,0
12,25000,140000,20000,8620000,23000,24518,98.07,98.07,233508,0.898291,0
13,25000,140000,20000,8505000,23000,24604,98.41,98.41,252341,0.896018,0
14,25000,140000,20000,8390000,23000,24689,98.75,98.75,271079,0.893916,0
15,25000,140000,20000,8275000,23000,24739,98.95,98.95,289724,0.891933,0
16,25000,140000,20000,8160000,23000,24793,99.17,99.17,308275,0.890029,0
17,25000,140000,20000,8045000,23000,24852,99.41,99.41,326734,0.888173,0
18,25000,140000,20000,7930000,23000,24914,99.65,99.65,345100,0.886342,0
19,25000,140000,20000,7815000,23000,24979,99.91,99.91,363374,0.884516,0
20,25000,140000,20000,7700000,23000,25046,100.18,100.18,381558,0.882682,0
21,25000,140000,20000,7585000,23000,25115,100.46,100.46,399650,0.880827,0
22,25000,140000,20000,7470000,23000,25186,100.74,100.74,417652,0.878942,0
23,25000,140000,20000,7355000,23000,25258,101.03,101.03,435563,0.877019,0
24,25000,140000,20000,7240000,23000,25330,101.32,101.32,453385,0.875051,0
25,25000,140000,20000,7125000,23000,25404,101.61,101.61,471119,0.873032,0
26,25000,140000,20000,7010000,23000,25479,101.91,101.91,488763,0.870956,0
27,25000,140000,20000,6895000,23000,25554,102.21,102.21,506319,0.868819,0
28,25000,140000,20000,6780000,23000,25630,102.52,102.52,523788,0.866616,0
29,25000,140000,20000,6665000,23000,25706,102.82,102.82,541169,0.864342,0
30,25000,140000,20000,6550000,23000,25782,103.12,103.12,558463,0.861992,0
