day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,40000,120000,6000,9920000,27600,28167,93.89,,6000,0.988000,0
2,40000,120000,6000,9840000,16905,17541,95.46,43.85,11970,0.974798,0
3,40000,120000,6000,9760000,22338,21049,86.69,52.62,17910,0.964685,0
4,40000,120000,6000,9680000,26414,25259,87.97,63.14,23820,0.956903,0
5,40000,120000,6000,9600000,29470,30099,93.96,75.24,29701,0.950881,0
6,40000,120000,6000,9520000,31762,32401,93.84,81,35552,0.946187,0
7,40000,120000,6000,9440000,33482,34133,93.78,85.33,41375,0.942495,0
8,40000,120000,6000,9360000,34771,35438,93.76,88.59,47168,0.939556,0
9,40000,120000,6000,9280000,35738,36422,93.76,91.05,52932,0.937186,0
10,40000,120000,6000,9200000,36464,37166,93.77,92.91,58667,0.935242,0
11,40000,120000,6000,9120000,36800,37522,93.8,93.8,64374,0.933618,0
12,40000,120000,6000,9040000,36800,37545,93.86,93.86,70052,0.932233,0
13,40000,120000,6000,8960000,36800,37567,93.91,93.91,75702,0.931026,0
14,40000,120000,6000,8880000,36800,37589,93.97,93.97,81323,0.929950,0
15,40000,120000,6000,8800000,36800,37572,93.93,93.93,86917,0.928971,0
16,40000,120000,6000,8720000,36800,37561,93.9,93.9,92482,0.928062,0
17,40000,120000,6000,8640000,36800,37554,93.88,93.88,98020,0.927203,0
18,40000,120000,6000,8560000,36800,37550,93.87,93.87,103530,0.926378,0
19,40000,120000,6000,8480000,36800,37550,93.87,93.87,109012,0.925576,0
20,40000,120000,6000,8400000,36800,37553,93.88,93.88,114467,0.924788,0
21,40000,120000,6000,8320000,36800,37557,93.89,93.89,119895,0.924006,0
22,40000,120000,6000,8240000,36800,37564,93.91,93.91,125295,0.923226,0
23,40000,120000,6000,8160000,36800,37572,93.93,93.93,130669,0.922443,0
24,40000,120000,6000,8080000,36800,37582,93.95,93.95,136015,0.921654,0
25,40000,120000,6000,8000000,36800,37593,93.98,93.98,141335,0.920857,0
26,40000,120000,6000,7920000,36800,37605,94.01,94.01,146629,0.920049,0
27,40000,120000,6000,7840000,36800,37618,94.04,94.04,151895,0.919229,0
28,40000,120000,6000,7760000,36800,37632,94.08,94.08,157136,0.918395,0
29,40000,120000,6000,7680000,36800,37647,94.11,94.11,162350,0.917547,0
30,40000,120000,6000,7600000,36800,37662,94.15,94.15,167538,0.916683,0
