day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,0,0,0,10000000,0,10000,,,0,1.000000,0
2,0,0,0,10000000,0,10000,,,0,1.000000,0
3,0,0,0,10000000,0,10000,,,0,1.000000,0
4,30000,0,0,10030000,21375,12000,53.33,,0,1.004500,0
5,30000,0,0,10060000,13092,13749,99.77,45.83,0,1.009347,0
6,30000,0,0,10090000,17300,16499,90.6,54.99,0,1.012954,0
7,30000,0,0,10120000,20456,19799,91.95,65.99,0,1.015633,0
8,60000,10000,300,10170000,28500,23759,79.19,79.19,300,1.021571,0
9,60000,10000,300,10220000,37691,28511,71.86,47.51,598,1.025932,0
10,60000,10000,300,10270000,43230,34214,75.18,57.02,895,1.029138,0
11,60000,10000,300,10320000,47385,41056,82.31,68.42,1191,1.031484,0
12,60000,10000,300,10370000,50501,49268,92.67,82.11,1485,1.033189,0
13,60000,10000,300,10420000,52838,53348,95.91,88.91,1777,1.034415,0
14,60000,10000,300,10470000,54591,55098,95.88,91.83,2068,1.035284,0
15,60000,10000,300,10520000,55906,56360,95.77,93.93,2358,1.035888,0
16,60000,10000,300,10570000,56892,57300,95.68,95.5,2646,1.036294,0
17,60000,10000,300,10620000,57000,57372,95.62,95.62,2933,1.036552,0
18,60000,10000,300,10670000,57000,57341,95.56,95.56,3218,1.036701,0
19,60000,10000,300,10720000,57000,57313,95.52,95.52,3502,1.036769,0
20,60000,10000,300,10770000,57000,57288,95.48,95.48,3785,1.036777,0
21,60000,10000,300,10820000,57000,57265,95.44,95.44,4066,1.036739,0
22,60000,10000,300,10870000,57000,57245,95.4,95.4,4345,1.036669,0
23,60000,10000,300,10920000,57000,57226,95.37,95.37,4624,1.036575,0
24,60000,10000,300,10970000,57000,57209,95.34,95.34,4901,1.036463,0
25,60000,10000,300,11020000,57000,57194,95.32,95.32,5176,1.036339,0
26,60000,10000,300,11070000,57000,57180,95.3,95.3,5450,1.036205,0
27,60000,10000,300,11120000,57000,57167,95.27,95.27,5723,1.036064,0
28,60000,10000,300,11170000,57000,57155,95.25,95.25,5994,1.035919,0
29,60000,10000,300,11220000,57000,57143,95.23,95.23,6264,1.035772,0
30,60000,10000,300,11270000,57000,57133,95.22,95.22,6533,1.035622,0
