day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,4000000,10000,0,13990000,2850000,1000000,33.33,,0,1.300000,0
2,60000,30000,1000,14020000,763087,760571,94.68,19.01,1000,1.300000,0
3,60000,30000,1000,14050000,57000,228171,380.28,380.28,1995,1.247615,0
4,60000,30000,1000,14080000,57000,68451,114.08,114.08,2985,1.189585,0
5,60000,30000,1000,14110000,57000,57882,96.47,96.47,3970,1.146147,0
6,60000,30000,1000,14140000,57000,57857,96.42,96.42,4950,1.113630,0
7,60000,30000,1000,14170000,57000,57839,96.39,96.39,5925,1.089285,0
8,60000,30000,1000,14200000,57000,57828,96.38,96.38,6895,1.071056,0
9,60000,30000,1000,14230000,57000,57821,96.36,96.36,7861,1.057405,0
10,60000,30000,1000,14260000,57000,57818,96.36,96.36,8822,1.047179,0
11,60000,30000,1000,14290000,57000,57817,96.36,96.36,9777,1.039518,0
12,60000,30000,1000,14320000,57000,57819,96.36,96.36,10729,1.033775,0
13,60000,30000,1000,14350000,57000,57821,96.36,96.36,11675,1.029468,0
14,60000,30000,1000,14380000,57000,57825,96.37,96.37,12617,1.026236,0
15,60000,30000,1000,14410000,57000,57759,96.26,96.26,13553,1.023808,0
16,60000,30000,1000,14440000,57000,57703,96.17,96.17,14486,1.021983,0
17,60000,30000,1000,14470000,57000,57654,96.09,96.09,15413,1.020608,0
18,60000,30000,1000,14500000,57000,57611,96.01,96.01,16336,1.019570,0
19,60000,30000,1000,14530000,57000,57574,95.95,95.95,17255,1.018785,0
20,60000,30000,1000,14560000,57000,57540,95.9,95.9,18168,1.018189,0
21,60000,30000,1000,14590000,57000,57511,95.85,95.85,19077,1.017735,0
22,60000,30000,1000,14620000,57000,57485,95.8,95.8,19982,1.017386,0
23,60000,30000,1000,14650000,57000,57461,95.76,95.76,20882,1.017117,0
24,60000,30000,1000,14680000,57000,57440,95.73,95.73,21778,1.016907,0
25,60000,30000,1000,14710000,57000,57420,95.7,95.7,22669,1.016741,0
26,60000,30000,1000,14740000,57000,57403,95.67,95.67,23555,1.016609,0
27,60000,30000,1000,14770000,57000,57387,95.64,95.64,24438,1.016502,0
28,60000,30000,1000,14800000,57000,57373,95.62,95.62,25315,1.016414,0
29,60000,30000,1000,14830000,57000,57360,95.6,95.6,26189,1.016339,0
30,60000,30000,1000,14860000,57000,57348,95.58,95.58,27058,1.016276,0
