day,locked,unlocked,recycled,totalLocked,lockTarget,emission,emissionToPrevLockPct,emissionToPrevActualLockPct,buffer,growthFactor,emergency
1,150000,50000,2000,10100000,106875,107065,95.16,,2000,1.015000,0
2,150000,50000,2000,10200000,65460,65887,95.61,43.92,3990,1.030941,0
3,150000,50000,2000,10300000,86501,79064,86.83,52.7,5970,1.042586,0
4,150000,50000,2000,10400000,102282,94877,88.12,63.25,7940,1.051047,0
5,150000,50000,2000,10500000,114118,113853,94.77,75.9,9900,1.057148,0
6,150000,50000,2000,10600000,122994,123225,95.17,82.15,11850,1.061500,0
7,150000,50000,2000,10700000,129652,129869,95.15,86.57,13791,1.064558,0
8,150000,50000,2000,10800000,134645,134856,95.14,89.9,15722,1.066658,0
9,150000,50000,2000,10900000,138390,138601,95.14,92.4,17644,1.068049,0
10,150000,50000,2000,11000000,141199,141413,95.14,94.27,19555,1.068917,0
11,150000,50000,2000,11100000,142500,142725,95.15,95.15,21458,1.069400,0
12,150000,50000,2000,11200000,142500,142742,95.16,95.16,23350,1.069599,0
13,150000,50000,2000,11300000,142500,142759,95.17,95.17,25234,1.069590,0
14,150000,50000,2000,11400000,142500,142776,95.18,95.18,27107,1.069430,0
15,150000,50000,2000,11500000,142500,142735,95.15,95.15,28972,1.069159,0
16,150000,50000,2000,11600000,142500,142700,95.13,95.13,30827,1.068810,0
17,150000,50000,2000,11700000,142500,142670,95.11,95.11,32673,1.068404,0
18,150000,50000,2000,11800000,142500,142645,95.09,95.09,34510,1.067958,0
19,150000,50000,2000,11900000,142500,142623,95.08,95.08,36337,1.067486,0
20,150000,50000,2000,12000000,142500,142604,95.06,95.06,38155,1.066996,0
21,150000,50000,2000,12100000,142500,142587,95.05,95.05,39965,1.066495,0
22,150000,50000,2000,12200000,142500,142573,95.04,95.04,41765,1.065988,0
23,150000,50000,2000,12300000,142500,142561,95.04,95.04,43556,1.065479,0
24,150000,50000,2000,12400000,142500,142551,95.03,95.03,45338,1.064970,0
25,150000,50000,2000,12500000,142500,142542,95.02,95.02,47111,1.064464,0
26,150000,50000,2000,12600000,142500,142534,95.02,95.02,48876,1.063961,0
27,150000,50000,2000,12700000,142500,142528,95.01,95.01,50631,1.063463,0
28,150000,50000,2000,12800000,142500,142522,95.01,95.01,52378,1.062970,0
29,150000,50000,2000,12900000,142500,142518,95.01,95.01,54116,1.062484,0
30,150000,50000,2000,13000000,142500,142514,95,95,55846,1.062004,0
