day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,0,0,0,0,10000,0,1.000000,0
2,0,0,0,0,10000,0,1.000000,0
3,0,0,0,0,10000,0,1.000000,0
4,30000,0,0,30000,10000,0,1.300000,0
5,30000,0,0,60000,12000,0,1.300000,0
6,30000,0,0,90000,14400,0,1.300000,0
7,30000,0,0,120000,17280,0,1.300000,0
8,60000,10000,300,170000,20736,300,1.300000,0
9,60000,10000,300,220000,24883,594,1.300000,0
10,60000,10000,300,270000,29859,882,1.300000,0
11,60000,10000,300,320000,35831,1164,1.300000,0
12,60000,10000,300,370000,42998,1441,1.300000,0
13,60000,10000,300,420000,51597,1712,1.300000,0
14,60000,10000,300,470000,61917,1978,1.300000,0
15,60000,10000,300,520000,74300,2238,1.300000,0
16,60000,10000,300,570000,89161,2493,1.300000,0
17,60000,10000,300,620000,106993,2743,1.300000,0
18,60000,10000,300,670000,128391,2989,1.300000,0
19,60000,10000,300,720000,154070,3229,1.300000,0
20,60000,10000,300,770000,184884,3464,1.300000,0
21,60000,10000,300,820000,221861,3695,1.300000,0
22,60000,10000,300,870000,266233,3921,1.300000,0
23,60000,10000,300,920000,319479,4143,1.300000,0
24,60000,10000,300,970000,383375,4360,1.300000,0
25,60000,10000,300,1020000,460051,4572,1.300000,0
26,60000,10000,300,1070000,552061,4781,1.300000,0
27,60000,10000,300,1120000,662473,4985,1.300000,0
28,60000,10000,300,1170000,794968,5186,1.300000,0
29,60000,10000,300,1220000,953962,5382,1.300000,0
30,60000,10000,300,1270000,1000000,5574,1.300000,0
