day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,40000,120000,6000,0,10000,6000,0.700000,0
2,40000,120000,6000,0,10000,12000,0.700000,0
3,40000,120000,6000,0,10000,18000,0.700000,0
4,40000,120000,6000,0,10000,24000,0.700000,0
5,40000,120000,6000,0,10000,30000,0.700000,0
6,40000,120000,6000,0,10000,36000,0.700000,0
7,40000,120000,6000,0,10000,42000,0.700000,0
8,40000,120000,6000,0,10000,48000,0.700000,0
9,40000,120000,6000,0,10000,54000,0.700000,0
10,40000,120000,6000,0,10000,60000,0.700000,0
11,40000,120000,6000,0,10000,66000,0.700000,0
12,40000,120000,6000,0,10000,72000,0.700000,0
13,40000,120000,6000,0,10000,78000,0.700000,0
14,40000,120000,6000,0,10000,84000,0.700000,0
15,40000,120000,6000,0,10000,90000,0.700000,0
16,40000,120000,6000,0,10000,96000,0.700000,0
17,40000,120000,6000,0,10000,102000,0.700000,0
18,40000,120000,6000,0,10000,108000,0.700000,0
19,40000,120000,6000,0,10000,114000,0.700000,0
20,40000,120000,6000,0,10000,120000,0.700000,0
21,40000,120000,6000,0,10000,126000,0.700000,0
22,40000,120000,6000,0,10000,132000,0.700000,0
23,40000,120000,6000,0,10000,138000,0.700000,0
24,40000,120000,6000,0,10000,144000,0.700000,0
25,40000,120000,6000,0,10000,150000,0.700000,0
26,40000,120000,6000,0,10000,156000,0.700000,0
27,40000,120000,6000,0,10000,162000,0.700000,0
28,40000,120000,6000,0,10000,168000,0.700000,0
29,40000,120000,6000,0,10000,174000,0.700000,0
30,40000,120000,6000,0,10000,180000,0.700000,0
