day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,4000000,10000,0,3990000,10000,0,1.300000,0
2,60000,30000,1000,4020000,12000,1000,1.300000,0
3,60000,30000,1000,4050000,14400,1980,1.300000,0
4,60000,30000,1000,4080000,17280,2940,1.300000,0
5,60000,30000,1000,4110000,20736,3881,1.300000,0
6,60000,30000,1000,4140000,24883,4803,1.300000,0
7,60000,30000,1000,4170000,29859,5707,1.300000,0
8,60000,30000,1000,4200000,35831,6593,1.300000,0
9,60000,30000,1000,4230000,42998,7461,1.300000,0
10,60000,30000,1000,4260000,51597,8312,1.300000,0
11,60000,30000,1000,4290000,61917,9146,1.300000,0
12,60000,30000,1000,4320000,74300,9963,1.300000,0
13,60000,30000,1000,4350000,89161,10764,1.300000,0
14,60000,30000,1000,4380000,106993,11548,1.270464,0
15,60000,30000,1000,4410000,128391,12317,1.244267,0
16,60000,30000,1000,4440000,154070,13071,1.224471,0
17,60000,30000,1000,4470000,184884,13810,1.209445,0
18,60000,30000,1000,4500000,221861,14533,1.197976,0
19,60000,30000,1000,4530000,266233,15243,1.189159,0
20,60000,30000,1000,4560000,319479,15938,1.182320,0
21,60000,30000,1000,4590000,383375,16619,1.176959,0
22,60000,30000,1000,4620000,460051,17287,1.172701,0
23,60000,30000,1000,4650000,552061,17941,1.169269,0
24,60000,30000,1000,4680000,662473,18582,1.166456,0
25,60000,30000,1000,4710000,794968,19210,1.164106,0
26,60000,30000,1000,4740000,953962,19826,1.162104,0
27,60000,30000,1000,4770000,1000000,20430,1.160366,0
28,60000,30000,1000,4800000,1000000,21021,1.158826,0
29,60000,30000,1000,4830000,1000000,21601,1.157437,0
30,60000,30000,1000,4860000,1000000,22169,1.156165,0
