day,locked,unlocked,recycled,totalLocked,emission,buffer,growthFactor,emergency
1,25000,140000,20000,0,10000,20000,0.700000,0
2,25000,140000,20000,0,10000,40000,0.700000,0
3,25000,140000,20000,0,10000,60000,0.700000,0
4,25000,140000,20000,0,10000,80000,0.700000,0
5,25000,140000,20000,0,10000,100000,0.700000,0
6,25000,140000,20000,0,10000,120000,0.700000,0
7,25000,140000,20000,0,10000,140000,0.700000,0
8,25000,140000,20000,0,10000,160000,0.700000,0
9,25000,140000,20000,0,10000,180000,0.700000,0
10,25000,140000,20000,0,10000,200000,0.700000,0
11,25000,140000,20000,0,10000,220000,0.700000,0
12,25000,140000,20000,0,10000,240000,0.700000,0
13,25000,140000,20000,0,10000,260000,0.700000,0
14,25000,140000,20000,0,10000,280000,0.700000,0
15,25000,140000,20000,0,553633,300000,0.700000,1
16,25000,140000,20000,0,554016,320000,0.700000,1
17,25000,140000,20000,0,387811,340000,0.700000,0
18,25000,140000,20000,0,271468,360000,0.700000,0
19,25000,140000,20000,0,190027,380000,0.700000,0
20,25000,140000,20000,0,133019,400000,0.700000,0
21,25000,140000,20000,0,93113,420000,0.700000,0
22,25000,140000,20000,0,65179,440000,0.700000,0
23,25000,140000,20000,0,45625,460000,0.700000,0
24,25000,140000,20000,0,31937,480000,0.700000,0
25,25000,140000,20000,0,22356,500000,0.700000,0
26,25000,140000,20000,0,15649,520000,0.700000,0
27,25000,140000,20000,0,10954,540000,0.700000,0
28,25000,140000,20000,0,10000,560000,0.700000,0
29,25000,140000,20000,0,10000,580000,0.700000,0
30,25000,140000,20000,0,10000,600000,0.700000,0
